genes	X4R07C00CMN09NSFBV	X4R08C69DMN09NSFBV	X4R16C59DMN09NSFBV	FN_2R14C31CMN09NSFBV	FN_2R25C06CMN09NSFBV	FN_6R42C96DMN09NSFBV	M92.220.01	M92.220.02	M92.220.05	M92.220.06	M92.220.07
GmISU01.10G061100.v2.1	4.37240906626397	3.94204621843889	4.14025519807972	4.11045527599217	0.977384054633652	3.63457080821104	4.86195560952716	4.30772247590272	4.54311874407048	4.35545324411099	4.48552831015847
GmISU01.10G061400.v2.1	8.8533682078493	9.69023838125702	9.65596588163665	9.75931688740655	9.53743502089245	9.27766641003369	9.02929346336411	8.68190920387492	7.88730610835956	8.42728382374945	8.08576623157255
GmISU01.10G062200.v2.1	4.54780874336661	2.41120158879958	4.77736940868181	3.26618640158959	3.96435749338276	4.37716111945816	4.47911585618554	4.07309278427604	3.7894405170609	3.98594414630553	4.02429934401108
GmISU01.10G062300.v2.1	3.66440946983889	2.41120158879958	1.97342050411818	0.977384054633652	4.62663362854934	3.36871579887852	3.51825583841746	2.68429760172033	4.01782398526141	3.48794235554443	3.60706204144222
GmISU01.10G063500.v2.1	5.72365661960487	5.75216585091903	5.61362058503223	5.15535068615076	5.82098417553514	6.14862764274066	5.88025032669782	5.8318919750007	4.01782398526141	5.36751679251594	5.78381988935971
GmISU01.10G064500.v2.1	4.54780874336661	3.94204621843889	3.77793763697169	4.34581815035171	3.96435749338276	4.05312632468122	4.38864907973365	4.84406451473789	2.74679177032776	4.1824965279748	3.01768984579888
GmISU01.10G065600.v2.1	0.977384054633652	0.977384054633652	0.977384054633652	0.977384054633652	0.977384054633652	2.62041231970179	0.977384054633652	0.977384054633652	2.11788123993789	3.15492053076738	2.59822913173228
GmISU01.10G066900.v2.1	2.21614685086223	2.8061820280856	0.977384054633652	0.977384054633652	3.46762736682825	0.977384054633652	2.22650957483033	0.977384054633652	3.18331123426228	0.977384054633652	2.59822913173228
GmISU01.10G067000.v2.1	8.73142827300187	7.97478578119618	8.0780281704906	8.41668079227361	8.61838999939564	9.21815352735626	7.82649210464451	7.90551212221441	10.5193018321953	10.4014814841443	10.0222973692866
GmISU01.10G067200.v2.1	0.977384054633652	0.977384054633652	0.977384054633652	0.977384054633652	0.977384054633652	3.36871579887852	0.977384054633652	1.78875000927458	0.977384054633652	2.72120178055425	2.59822913173228
GmISU01.10G069600.v2.1	4.37240906626397	4.76000737742381	3.97044067882202	4.63953356511867	3.96435749338276	2.62041231970179	4.72076513739431	4.30772247590272	3.18331123426228	3.15492053076738	3.34226537473309
GmISU01.10G074700.v2.1	4.37240906626397	4.22653085890588	3.29296523134822	3.01624241833366	3.96435749338276	4.5154299538132	3.82465512956352	3.44446344729184	4.38834362198216	4.77653512669992	5.27603961440437
GmISU01.10G075800.v2.1	3.94082177491044	3.77556371331475	3.55573457534148	3.97660933845808	3.46762736682825	3.85897457541598	3.12873391605106	3.79274992115207	3.7894405170609	3.98594414630553	3.01768984579888
GmISU01.10G076600.v2.1	0.977384054633652	2.8061820280856	1.97342050411818	3.47915526204486	3.46762736682825	3.04254643194337	3.51825583841746	3.93972015443948	2.74679177032776	3.75832547063225	3.34226537473309
GmISU01.10G076900.v2.1	5.09171173328522	5.39822196776476	6.32719216986629	6.04977392033254	5.56796422686696	4.96492777651054	6.9057147163429	6.51008535802599	2.74679177032776	2.09813502873131	0.977384054633652
GmISU01.10G077000.v2.1	0.977384054633652	3.37080468969202	1.97342050411818	2.3304821202993	0.977384054633652	2.021151001939	0.977384054633652	0.977384054633652	0.977384054633652	2.72120178055425	0.977384054633652
