GeneName	Bert-01	Bert-02	Bert-03	Bert-04	Bert-05	WTP0579-16	WTP0579-18	WTP0579-26	WTP0579-32
GmISU01.01G043500	0	0	0	0	0	0	0	0	0
GmISU01.01G043600	0	0	0	0	0	0	0	0	0
GmISU01.01G043700	0	0	0	0	0	0	0	0	0
GmISU01.01G043800	0	0	0	0	0	0	0	0	0
GmISU01.01G043900	14	36	11	16	20	14	20	37	41
GmISU01.01G044000	0	0	0	0	0	0	0	0	0
GmISU01.01G044100	0	0	0	0	0	0	0	0	0
GmISU01.01G044200	0	0	0	0	0	0	0	0	0
GmISU01.01G044300	0	0	0	0	0	0	0	0	0
GmISU01.01G044400	0	0	0	0	1	0	0	0	0
GmISU01.01G044500	0	0	0	1	1	0	1	0	1
GmISU01.01G044600	0	0	0	0	0	0	0	0	0
GmISU01.01G044700	0	0	0	0	0	0	0	0	0
GmISU01.01G044800	0	0	0	0	0	0	0	0	0
GmISU01.01G044900	5	7	7	0	3	4	9	4	3
GmISU01.01G045000	0	0	0	0	0	0	0	0	0
GmISU01.01G045100	0	0	0	0	0	0	0	0	0
GmISU01.01G045200	0	0	0	0	0	0	0	0	0
GmISU01.01G045300	0	0	0	0	0	0	0	0	0
GmISU01.01G045400	0	0	0	0	0	0	0	0	0
GmISU01.01G045500	0	0	0	0	0	0	0	0	0
GmISU01.01G045600	0	0	0	0	0	0	0	0	0
GmISU01.01G045700	0	0	0	0	0	0	0	0	0
GmISU01.01G045800	0	1	0	0	0	0	0	0	0
GmISU01.01G045900	0	0	0	0	0	0	0	0	0
