genes	Bert.01	Bert.02	Bert.03	Bert.04	Bert.05	WTP0579.16	WTP0579.18	WTP0579.26	WTP0579.32
GmISU01.12G060400.v2.1	10.6550077699407	10.8042256104746	10.3248825115031	10.0043822416465	10.2637247071979	10.0354562582407	9.67428683393676	9.96995250928706	9.24563425466037
GmISU01.12G060700.v2.1	1.70100136620478	2.25688429486715	1.51108951230996	0.562771745184491	2.04685667612768	0.562771745184491	3.16120295014934	2.13641627239693	2.18125335944731
GmISU01.12G061400.v2.1	5.13693641746806	5.01347227582016	3.79029597792084	3.5153536068858	4.66514194546532	5.47297271626924	4.57791523056423	4.00674764971195	4.60968862545404
GmISU01.12G061700.v2.1	2.76544728414175	0.562771745184491	2.48453710804054	3.5153536068858	0.562771745184491	1.61701352510528	2.15851924980558	1.55429159996985	0.562771745184489
GmISU01.12G062000.v2.1	3.3712675132226	2.80348184177439	3.47107536988988	3.5153536068858	3.23908215540387	3.65639711205318	3.74705890941538	4.54683036184427	3.92976904938162
GmISU01.12G062100.v2.1	5.46129842891101	5.50811589021259	3.92681369985491	5.2970511963169	4.808721291444	4.98607453445301	4.48473887224272	5.07006703926889	4.1936249344616
GmISU01.12G062400.v2.1	1.70100136620478	2.25688429486715	0.562771745184489	0.562771745184491	1.48778251912831	0.562771745184491	0.562771745184489	0.562771745184489	0.562771745184489
GmISU01.12G063300.v2.1	0.562771745184491	0.562771745184491	0.562771745184489	0.562771745184491	0.562771745184491	3.46190080468142	0.562771745184489	0.562771745184489	2.60042651607653
GmISU01.12G063900.v2.1	2.32924607730979	2.80348184177439	0.562771745184489	2.89756862739078	1.48778251912831	1.61701352510528	1.57086804721782	1.55429159996985	1.58798380713049
GmISU01.12G064400.v2.1	4.26444002933335	5.39943279418097	4.71115144516025	4.54744592859753	4.93929588524333	4.98607453445301	4.66543714623134	4.54683036184427	5.1341869021062
GmISU01.12G064500.v2.1	3.79662187458695	3.50900355495279	4.27262229981969	3.2392796804893	3.5965625090272	4.98607453445301	3.57691059520499	4.00674764971195	3.77721804312662
GmISU01.12G064600.v2.1	4.50887470552264	4.25476905725302	4.46429710177186	4.12179011207515	4.58761205186463	4.98607453445301	4.27812317186212	4.54683036184427	4.30941798092936
GmISU01.12G064800.v2.1	6.70568008017186	7.29180179669612	6.74428865629515	6.60096183481835	6.6775776760398	6.83778780503521	6.84549715487889	6.61210587123318	6.91592148187209
GmISU01.12G065900.v2.1	2.32924607730979	1.8792178990583	2.48453710804054	3.5153536068858	1.48778251912831	0.562771745184491	3.38397835004588	2.13641627239693	2.92483032674013
GmISU01.12G066100.v2.1	0.562771745184491	2.55591605799835	1.51108951230996	0.562771745184491	1.48778251912831	0.562771745184491	0.562771745184489	0.562771745184489	0.562771745184489
GmISU01.12G066800.v2.1	3.79662187458695	2.80348184177439	4.37164057405033	4.77436524192147	4.41880889899545	5.36577467605122	4.82600130671175	4.45379219917193	5.25465228303346
GmISU01.12G066900.v2.1	4.81196014119618	4.07798332653879	4.63346699270404	5.14294916579685	5.22183187559878	4.83349884203926	5.10178280640104	4.93889332118971	4.9322320851848
GmISU01.12G067000.v2.1	5.20790562185261	4.55419703373154	3.79029597792084	5.50114513693175	5.58311591360449	5.79563592614308	6.33350927921611	6.24653005410147	6.22646957115306
GmISU01.12G067100.v2.1	9.36564636647087	8.72107363648397	8.2523946093782	9.26413388308132	9.54596064844851	9.43392515307469	9.5301714422477	9.37234749015037	9.83184890529678
GmISU01.12G067700.v2.1	4.39182798397413	4.74395090394224	4.27262229981969	4.41902688371487	3.88282083567961	3.98091294385994	3.57691059520499	3.35555861141131	4.1936249344616
GmISU01.12G068000.v2.1	3.59956431514037	1.366213121777	2.48453710804054	1.79436785569481	3.02049527917325	3.23703637648904	3.16120295014934	3.13357285099823	3.41308135098423
GmISU01.12G068100.v2.1	6.24777321751487	6.00504443225688	5.919398636538	8.65737636704076	7.12447417682423	5.8363595669664	7.38613071217964	7.622703654126	7.36719530611478
GmISU01.12G068800.v2.1	5.06229464861551	4.80203401544972	6.72569114583269	4.41902688371487	4.58761205186463	5.98864842116169	5.43634635247769	5.07006703926889	6.22646957115306
GmISU01.12G068900.v2.1	3.96996950005849	4.16908238235633	4.63346699270404	4.12179011207515	4.41880889899545	4.2456699325774	4.82600130671175	4.63423033983255	4.06772071070557
GmISU01.12G069100.v2.1	5.27554677598027	4.91162317562927	5.21641393104013	4.12179011207515	4.808721291444	5.05670919234955	4.57791523056423	4.79458913086613	5.0699593129078
GmISU01.12G069200.v2.1	2.76544728414175	1.366213121777	3.63949683930795	1.79436785569481	3.42886647238243	0.562771745184491	3.16120295014934	3.54789861841894	2.60042651607653
GmISU01.12G069300.v2.1	1.70100136620478	1.366213121777	3.0605390878773	0.562771745184491	0.562771745184491	2.64338834246888	1.57086804721782	2.13641627239693	1.58798380713049
GmISU01.12G069600.v2.1	2.76544728414175	2.80348184177439	2.0784048195632	2.89756862739078	3.23908215540387	2.97053402960597	0.562771745184489	2.5500327614921	1.58798380713049
GmISU01.12G069800.v2.1	4.81196014119618	4.412237339668	3.92681369985491	4.77436524192147	5.22183187559878	4.46929151222833	5.10178280640104	5.00597050044597	3.77721804312662
GmISU01.12G070001.v2.1	6.68094723366648	6.5537669574302	5.85240243826207	6.82021466836214	6.93400921217655	6.75524166996762	6.53285646375785	6.32743210475008	7.02157559119045
GmISU01.12G070100.v2.1	7.7909875776162	6.91128748801629	8.17225236456365	7.64839444587182	7.67652285323274	7.51388652840589	7.77848227356041	7.35326900541561	7.89785004557854
GmISU01.12G070400.v2.1	3.79662187458695	4.33565056505008	4.05152256555418	3.2392796804893	4.58761205186463	5.24996741284921	4.27812317186212	3.54789861841894	4.69733248361251
GmISU01.12G071000.v2.1	4.39182798397413	5.32214463512302	4.27262229981969	3.2392796804893	3.88282083567961	4.3618091346004	4.03689028348947	2.5500327614921	4.30941798092936
GmISU01.12G072000.v2.1	3.09992616690293	3.50900355495279	3.63949683930795	2.89756862739078	3.23908215540387	4.2456699325774	4.1625429305583	3.71758629786	4.77995552865782
