genes	X3MR_10	X3MR_12	X6MR_2	X6MR_9	Jack.01	Jack.02_B03	Jack.02_B07	Jack.04	Jack.05
GmISU01.20G084200.v2.1	5.24188989733957	4.99474252255465	5.13058486644168	5.56480264389672	5.33696591811384	5.83503332911536	5.11928194284903	5.03907859764792	5.42149069922399
GmISU01.20G084900.v2.1	7.87550435406176	7.8620969404868	7.6171633656627	7.77583752991867	7.74091292598674	7.35467396431189	6.72859160014788	7.53919501911629	7.91878748620822
GmISU01.20G085000.v2.1	7.06961699566428	7.39141834590368	5.69259493063182	7.1156600447294	6.83602960657859	6.00429100646946	4.54230209781464	6.0676350303327	6.23790701430009
GmISU01.20G085100.v2.1	6.61685069330443	6.31069930142386	7.13660388657849	6.01645141031219	5.9673505317678	6.90227399460752	6.46314088554417	5.86175357220296	5.53266629203172
GmISU01.20G085900.v2.1	0.730111113151099	0.730111113151101	2.85217971302475	0.730111113151101	0.730111113151099	1.62290493616833	2.07206393116335	3.18460868283151	1.75505812597562
GmISU01.20G086900.v2.1	4.14892552029932	4.39841982264342	3.67615948055799	4.40829301823621	4.03778762361778	3.34849309085556	3.40192473349268	2.21166260905705	3.09174995627017
GmISU01.20G088100.v2.1	6.81014125693164	7.03555524810795	6.0960178082497	6.99784791096855	7.25746994735371	6.15576001831003	6.69353172676771	6.50554793974405	6.84494424448098
GmISU01.20G088400.v2.1	3.77816783378112	3.86910799259265	5.18674346599464	5.09945847103587	4.03778762361778	4.76765411330742	4.28403616980482	4.39131084502065	4.68322593156434
GmISU01.20G088600.v2.1	0.730111113151099	0.730111113151101	2.85217971302475	1.93876542824582	0.730111113151099	0.730111113151101	0.730111113151101	1.65325603415002	0.730111113151101
GmISU01.20G089400.v2.1	2.50564929418431	2.57932494464582	3.51001361329548	3.3727845508803	1.80920772919755	2.17028551607243	3.40192473349268	2.21166260905705	3.57997187417307
GmISU01.20G089900.v2.1	5.80561678053277	6.27091841465168	6.74603587423983	5.96714502401288	5.924151166594	6.06679951721533	5.75098280242512	6.45754628553869	6.33313484817752
GmISU01.20G090300.v2.1	9.68263698026711	9.36187663328856	9.40989929736039	9.44187800620202	9.48744291420199	10.0032772153594	9.78771694172506	9.7891017510893	9.79629548029138
GmISU01.20G090400.v2.1	2.9428315711359	0.730111113151101	2.54358760202904	0.730111113151101	0.730111113151099	2.17028551607243	2.07206393116335	0.730111113151099	0.730111113151101
GmISU01.20G090500.v2.1	5.38755506141158	5.08926568272191	9.34351418153405	5.00490008255863	5.26953390711987	5.76134874085143	5.78468981636847	5.70612226518894	5.36251584609336
GmISU01.20G090600.v2.1	5.85655534241212	5.55446646438955	6.80104222803141	5.75111412618692	4.96303304472799	5.60162730912034	6.00086737142672	5.70612226518894	6.10029287562516
